iter	Passed	Remaining
0	2	180
1	4	157
2	5	152
3	7	139
4	9	138
5	11	139
6	12	134
7	14	128
8	16	126
9	19	135
10	21	132
11	23	133
12	25	130
13	27	127
14	28	123
15	30	123
16	33	122
17	35	120
18	36	118
19	39	118
20	41	115
21	42	112
22	44	110
23	47	110
24	48	107
25	51	107
26	54	106
27	55	103
28	56	99
29	58	98
30	60	95
31	62	93
32	65	93
33	67	91
34	70	90
35	73	89
36	76	88
37	79	87
38	81	85
39	83	83
40	86	81
41	88	79
42	90	77
43	92	75
44	94	73
45	97	71
46	98	69
47	100	66
48	101	64
49	103	61
50	104	59
51	106	57
52	109	55
53	110	53
54	114	51
55	116	50
56	118	47
57	120	45
58	122	43
59	124	41
60	125	39
61	128	37
62	130	35
63	131	32
64	134	31
65	136	28
66	138	26
67	140	24
68	142	22
69	144	20
70	146	18
71	149	16
72	151	14
73	152	12
74	155	10
75	157	8
76	158	6
77	161	4
78	162	2
79	164	0
