iter	RMSE
0	0.01757102418
1	0.0168813436
2	0.01602159448
3	0.0150304517
4	0.01441422383
5	0.0134036249
6	0.01275086733
7	0.01203830949
8	0.01157347969
9	0.01119166174
10	0.0108344371
11	0.01050941244
12	0.01014922228
13	0.009742951025
14	0.009448047222
15	0.00890999474
16	0.008534035863
17	0.008274979546
18	0.008102382793
19	0.007844325379
20	0.007422906065
21	0.007122634386
22	0.006856297695
23	0.006606344039
24	0.006411332192
25	0.006251859994
26	0.006066062274
27	0.005905704985
28	0.005782611785
29	0.005409062623
30	0.00527899407
31	0.005058764532
32	0.004992314597
33	0.004788826852
34	0.004565967334
35	0.004526078468
36	0.004274102382
37	0.004146161574
38	0.003960760733
39	0.003854794543
40	0.003694347595
41	0.003546229821
42	0.003386665433
43	0.003343885908
44	0.003286189294
45	0.00316745861
46	0.003126491324
47	0.003001412937
48	0.002905036347
49	0.002816298996
50	0.002691994388
51	0.002605285583
52	0.002536163551
53	0.002501434844
54	0.00247101862
55	0.002444407972
56	0.002368656936
57	0.002350420562
58	0.002229770226
59	0.002158055322
60	0.002089448704
61	0.00202000756
62	0.001946028095
63	0.001890660206
64	0.001828834654
65	0.001805067719
66	0.001731441859
67	0.001709012612
68	0.00165924603
69	0.001595140804
70	0.001552852612
71	0.001521702093
72	0.00146870691
73	0.001457139891
74	0.001446838465
75	0.001404974759
76	0.001373306519
77	0.001339967517
78	0.001327262796
79	0.001296580217
